return_id,order_id,return_date,return_reason,refund_amount,refund_status
RET_00085,ORD_007017,12/16/2025,Changed Mind,1136.17,Pending
RET_00087,ORD_003604,12/13/2025,Quality Issue,715.1,Rejected
RET_00088,ORD_000812,10/26/2025,Quality Issue,1440.57,Pending
RET_00089,ORD_005916,11/19/2025,Size Issue,112.91,Rejected
RET_00090,ORD_003289,1/13/2026,Changed Mind,744.78,Processed
RET_00091,ORD_004591,11/6/2025,Size Issue,278.83,Pending
RET_00093,ORD_002431,12/24/2025,Quality Issue,470.98,Rejected
RET_00094,ORD_004858,10/27/2025,Changed Mind,687.16,Rejected
RET_00096,ORD_002361,12/9/2025,Defective,706.78,Processed
RET_00097,ORD_001776,1/2/2026,Changed Mind,143.07,Pending
RET_00100,ORD_001752,12/27/2025,Size Issue,1685.61,Rejected
RET_00101,ORD_000609,10/22/2025,Size Issue,337.01,Pending
RET_00102,ORD_000358,11/27/2025,Defective,789.28,Pending
RET_00103,ORD_000232,11/1/2025,Size Issue,181.36,Pending
RET_00104,ORD_007123,10/26/2025,Changed Mind,165.43,Processed
RET_00105,ORD_000724,11/2/2025,Changed Mind,235.23,Rejected
RET_00108,ORD_002553,11/26/2025,Defective,842.26,Rejected
RET_00109,ORD_001266,1/2/2026,Quality Issue,281.23,Processed
RET_00112,ORD_000602,11/14/2025,Wrong Item,600.05,Pending
RET_00113,ORD_005402,11/2/2025,Defective,187.84,Rejected
RET_00114,ORD_004262,11/19/2025,Wrong Item,643.03,Pending
RET_00115,ORD_000153,12/20/2025,Wrong Item,467.34,Processed
RET_00116,ORD_004125,10/25/2025,Wrong Item,161.68,Rejected
RET_00117,ORD_002793,10/26/2025,Changed Mind,764.42,Pending
RET_00118,ORD_004026,1/8/2026,Quality Issue,545.77,Processed
RET_00119,ORD_006575,11/7/2025,Changed Mind,1608.59,Pending
RET_00120,ORD_005694,11/19/2025,Size Issue,116.83,Rejected
RET_00121,ORD_003684,10/18/2025,Quality Issue,460.75,Pending
RET_00122,ORD_001505,10/19/2025,Changed Mind,1255.16,Processed
RET_00123,ORD_000918,1/14/2026,Defective,843.24,Rejected
RET_00124,ORD_005536,11/7/2025,Quality Issue,409.9,Rejected
RET_00125,ORD_003425,11/11/2025,Changed Mind,400.93,Pending
RET_00126,ORD_007200,11/20/2025,Changed Mind,926.31,Pending
RET_00127,ORD_007028,1/10/2026,Defective,167.68,Pending
RET_00128,ORD_007282,10/30/2025,Defective,1268.25,Processed
RET_00129,ORD_004720,1/3/2026,Wrong Item,1533.38,Rejected
RET_00130,ORD_003354,11/25/2025,Defective,479.43,Processed
RET_00131,ORD_004800,12/19/2025,Wrong Item,782.09,Rejected
RET_00132,ORD_004913,11/11/2025,Quality Issue,896.23,Pending
RET_00133,ORD_001213,10/30/2025,Wrong Item,317.22,Pending
RET_00135,ORD_006553,12/25/2025,Changed Mind,533.82,Pending
RET_00136,ORD_003480,10/18/2025,Defective,481.45,Rejected
RET_00137,ORD_001174,11/30/2025,Changed Mind,1058.4,Processed
RET_00138,ORD_002068,11/17/2025,Wrong Item,739.48,Rejected
RET_00139,ORD_001664,12/23/2025,Wrong Item,1928.86,Pending
RET_00140,ORD_005025,11/14/2025,Defective,150.8,Processed
RET_00141,ORD_001493,11/11/2025,Changed Mind,1759.44,Rejected
RET_00142,ORD_004281,1/13/2026,Wrong Item,1506.69,Pending
RET_00143,ORD_000247,12/31/2025,Defective,616.11,Processed
RET_00144,ORD_007345,12/16/2025,Wrong Item,443.97,Processed
RET_00145,ORD_005909,11/18/2025,Quality Issue,507.19,Rejected
RET_00146,ORD_002654,11/3/2025,Changed Mind,945.87,Rejected
RET_00149,ORD_001328,1/12/2026,Changed Mind,582.46,Rejected
RET_00150,ORD_006498,1/3/2026,Changed Mind,470.4,Pending
RET_00151,ORD_000755,10/17/2025,Wrong Item,864.95,Rejected
RET_00152,ORD_005258,11/13/2025,Defective,331.29,Rejected
RET_00153,ORD_003931,10/19/2025,Changed Mind,936.95,Processed
RET_00154,ORD_002389,12/8/2025,Changed Mind,526.43,Pending
RET_00155,ORD_001785,12/29/2025,Size Issue,945.86,Pending
RET_00156,ORD_000646,12/8/2025,Wrong Item,577.66,Pending
RET_00158,ORD_001738,12/18/2025,Defective,165.33,Pending
RET_00159,ORD_007524,1/4/2026,Quality Issue,519.42,Pending
RET_00160,ORD_000826,10/21/2025,Defective,486.72,Pending
RET_00161,ORD_004507,12/13/2025,Size Issue,366.87,Processed
RET_00162,ORD_007852,12/5/2025,Changed Mind,120.21,Processed
RET_00163,ORD_005961,11/8/2025,Changed Mind,103.92,Processed
RET_00166,ORD_001283,12/22/2025,Changed Mind,1071.81,Processed
RET_00167,ORD_000478,11/8/2025,Changed Mind,733.31,Processed
RET_00168,ORD_000102,10/27/2025,Quality Issue,759.05,Rejected
RET_00169,ORD_000323,10/28/2025,Quality Issue,128.31,Pending
RET_00170,ORD_005768,12/4/2025,Changed Mind,432.14,Pending
RET_00172,ORD_005225,12/17/2025,Size Issue,366.54,Pending
RET_00173,ORD_000283,12/17/2025,Quality Issue,616.95,Rejected
RET_00174,ORD_003395,12/28/2025,Size Issue,46.31,Pending
RET_00175,ORD_006203,11/9/2025,Wrong Item,175.62,Processed
RET_00176,ORD_001496,10/24/2025,Size Issue,1273.72,Pending
RET_00177,ORD_002027,10/21/2025,Wrong Item,1160.65,Pending
RET_00179,ORD_007145,12/23/2025,Size Issue,507.02,Rejected
RET_00180,ORD_004429,12/27/2025,Size Issue,1291.81,Processed
RET_00181,ORD_002399,12/19/2025,Changed Mind,1204.83,Rejected
RET_00182,ORD_000576,12/16/2025,Changed Mind,651.32,Processed
RET_00183,ORD_005298,12/29/2025,Size Issue,945.32,Rejected
RET_00184,ORD_005950,11/21/2025,Wrong Item,1773.64,Processed
RET_00185,ORD_005354,12/17/2025,Wrong Item,692.5,Processed
RET_00186,ORD_000645,12/19/2025,Wrong Item,256.59,Processed
RET_00187,ORD_000391,10/19/2025,Size Issue,187.56,Pending
RET_00188,ORD_000045,11/13/2025,Changed Mind,907.37,Pending
RET_00189,ORD_007136,12/8/2025,Size Issue,244.9,Rejected
RET_00190,ORD_002615,10/24/2025,Wrong Item,1237.33,Pending
RET_00191,ORD_004123,11/3/2025,Changed Mind,444.25,Rejected
RET_00192,ORD_005993,12/8/2025,Quality Issue,642.46,Rejected
RET_00193,ORD_006786,10/31/2025,Changed Mind,373.93,Processed
RET_00196,ORD_006017,12/2/2025,Changed Mind,665.67,Pending
RET_00199,ORD_004952,12/31/2025,Changed Mind,511.71,Processed
RET_00200,ORD_005842,1/6/2026,Defective,1023.96,Rejected
RET_00201,ORD_006610,1/5/2026,Changed Mind,675.05,Rejected
RET_00202,ORD_004387,10/24/2025,Wrong Item,584.76,Rejected
RET_00203,ORD_001622,12/19/2025,Defective,294.81,Pending
RET_00204,ORD_002212,11/10/2025,Defective,1078.18,Processed
RET_00205,ORD_003595,1/7/2026,Size Issue,1135.17,Rejected
RET_00206,ORD_005160,11/13/2025,Size Issue,856.43,Pending
RET_00207,ORD_007215,11/13/2025,Wrong Item,551.83,Rejected
RET_00208,ORD_004270,11/28/2025,Defective,262.93,Pending
RET_00209,ORD_005725,11/28/2025,Wrong Item,990.55,Rejected
RET_00210,ORD_005560,12/16/2025,Wrong Item,122.45,Processed
RET_00211,ORD_003256,11/15/2025,Quality Issue,487.58,Processed
RET_00212,ORD_005750,11/11/2025,Defective,313.03,Pending
RET_00213,ORD_001854,12/5/2025,Quality Issue,315.44,Pending
RET_00214,ORD_002371,11/20/2025,Defective,384.08,Rejected
RET_00216,ORD_003029,11/26/2025,Changed Mind,681.51,Pending
RET_00217,ORD_003686,12/7/2025,Wrong Item,367.78,Processed
RET_00218,ORD_006869,12/9/2025,Defective,555.64,Rejected
RET_00219,ORD_007129,10/13/2025,Wrong Item,1239.73,Processed
RET_00220,ORD_004114,10/24/2025,Quality Issue,878.74,Processed
RET_00222,ORD_007389,11/11/2025,Changed Mind,128.97,Rejected
RET_00223,ORD_007773,12/18/2025,Wrong Item,844.08,Rejected
RET_00224,ORD_005049,11/20/2025,Size Issue,886.69,Processed
RET_00225,ORD_006162,12/1/2025,Wrong Item,492.69,Processed
RET_00226,ORD_005885,12/29/2025,Wrong Item,367.63,Processed
RET_00227,ORD_003192,12/26/2025,Quality Issue,356.95,Processed
RET_00228,ORD_005566,1/2/2026,Quality Issue,917.65,Rejected
RET_00229,ORD_007929,11/19/2025,Size Issue,259.56,Processed
RET_00230,ORD_004057,11/22/2025,Changed Mind,397.42,Rejected
RET_00231,ORD_006392,11/5/2025,Defective,1017.76,Rejected
RET_00233,ORD_003055,10/31/2025,Quality Issue,418.1,Rejected
RET_00234,ORD_007295,11/25/2025,Quality Issue,186.16,Processed
RET_00235,ORD_002680,11/13/2025,Defective,561.6,Pending
RET_00236,ORD_004337,12/30/2025,Changed Mind,396.01,Pending
RET_00237,ORD_004012,1/2/2026,Size Issue,752.51,Pending
RET_00238,ORD_004151,1/4/2026,Defective,429.93,Processed
RET_00239,ORD_000887,11/10/2025,Defective,214.66,Pending
RET_00240,ORD_004528,12/20/2025,Defective,443.2,Rejected
RET_00241,ORD_006138,1/14/2026,Changed Mind,667.95,Pending
RET_00242,ORD_001223,12/2/2025,Quality Issue,547.95,Processed
RET_00243,ORD_007120,12/30/2025,Changed Mind,130.44,Processed
RET_00244,ORD_003344,12/25/2025,Size Issue,1175.51,Pending
RET_00245,ORD_002375,11/23/2025,Size Issue,705.54,Pending
RET_00246,ORD_002472,12/16/2025,Quality Issue,140.79,Rejected
RET_00247,ORD_007642,12/6/2025,Changed Mind,116.36,Rejected
RET_00248,ORD_006145,11/12/2025,Changed Mind,818.83,Pending
RET_00249,ORD_004793,11/7/2025,Defective,868.68,Processed
RET_00250,ORD_002912,12/30/2025,Changed Mind,434.4,Processed
RET_00251,ORD_001355,12/1/2025,Wrong Item,446.87,Pending
RET_00252,ORD_002953,1/2/2026,Size Issue,405,Processed
RET_00253,ORD_005780,10/29/2025,Defective,528.24,Pending
RET_00254,ORD_004143,12/15/2025,Wrong Item,513.17,Pending
RET_00255,ORD_005802,10/21/2025,Size Issue,36.44,Processed
RET_00256,ORD_004877,11/13/2025,Defective,843.52,Pending
RET_00257,ORD_002278,10/21/2025,Size Issue,1111.42,Pending
RET_00259,ORD_004403,11/9/2025,Defective,957.62,Pending
RET_00260,ORD_004600,10/11/2025,Changed Mind,1081.36,Processed
RET_00261,ORD_000828,11/26/2025,Defective,34.9,Pending
RET_00262,ORD_005743,11/26/2025,Quality Issue,75.24,Pending
RET_00263,ORD_003584,11/21/2025,Changed Mind,80.53,Processed
RET_00266,ORD_000196,11/27/2025,Quality Issue,113.31,Processed
RET_00267,ORD_006576,11/10/2025,Size Issue,184.84,Pending
RET_00268,ORD_000655,1/1/2026,Wrong Item,286.5,Pending
RET_00270,ORD_006399,11/19/2025,Quality Issue,412.02,Pending
RET_00271,ORD_006870,11/30/2025,Quality Issue,1012.77,Processed
RET_00272,ORD_003567,10/17/2025,Size Issue,551.71,Rejected
RET_00273,ORD_000567,12/4/2025,Wrong Item,689.07,Pending
RET_00275,ORD_007629,11/13/2025,Changed Mind,646.8,Pending
RET_00276,ORD_000597,11/26/2025,Size Issue,731.34,Rejected
RET_00277,ORD_002660,12/21/2025,Quality Issue,508.07,Processed
RET_00278,ORD_006400,10/30/2025,Wrong Item,717.35,Pending
RET_00279,ORD_001199,10/30/2025,Size Issue,248.41,Processed
RET_00280,ORD_002725,11/13/2025,Changed Mind,1599.9,Pending
RET_00281,ORD_002352,1/3/2026,Quality Issue,877.93,Rejected
RET_00282,ORD_000059,10/31/2025,Size Issue,783.15,Pending
RET_00283,ORD_001696,12/20/2025,Size Issue,490.79,Pending
RET_00284,ORD_001247,11/20/2025,Changed Mind,896.02,Processed
RET_00285,ORD_007542,1/14/2026,Defective,709.19,Pending
RET_00286,ORD_000856,12/20/2025,Defective,1232.62,Processed
RET_00288,ORD_004667,10/16/2025,Size Issue,406.47,Processed
RET_00289,ORD_000739,12/15/2025,Quality Issue,581,Rejected
RET_00290,ORD_001701,11/16/2025,Defective,614.43,Processed
RET_00291,ORD_001055,11/3/2025,Size Issue,1011.31,Processed
RET_00292,ORD_000581,10/15/2025,Quality Issue,856.17,Pending
RET_00293,ORD_005848,11/25/2025,Changed Mind,38.55,Rejected
RET_00294,ORD_005326,11/20/2025,Changed Mind,562.3,Rejected
RET_00296,ORD_002077,12/2/2025,Defective,866.37,Rejected
RET_00297,ORD_001450,11/2/2025,Changed Mind,1786.5,Rejected
RET_00298,ORD_004413,12/12/2025,Wrong Item,608.2,Pending
RET_00299,ORD_007154,12/4/2025,Defective,593.63,Rejected
RET_00300,ORD_004172,11/12/2025,Changed Mind,524.53,Processed
RET_00301,ORD_003542,11/3/2025,Defective,483.97,Rejected
RET_00302,ORD_001279,10/23/2025,Size Issue,1319.95,Processed
RET_00303,ORD_003556,11/27/2025,Quality Issue,709.35,Pending
RET_00304,ORD_000107,11/19/2025,Defective,407.59,Pending
RET_00306,ORD_001756,12/13/2025,Defective,502.54,Rejected
RET_00307,ORD_004039,12/8/2025,Wrong Item,597.26,Rejected
RET_00308,ORD_004318,12/8/2025,Changed Mind,778.21,Processed
RET_00309,ORD_005771,12/1/2025,Wrong Item,79.25,Processed
RET_00310,ORD_002057,12/14/2025,Changed Mind,1286.12,Processed
RET_00311,ORD_005832,12/23/2025,Changed Mind,952.02,Pending
RET_00313,ORD_005475,12/7/2025,Wrong Item,699.19,Pending
RET_00314,ORD_005490,12/20/2025,Size Issue,1202.45,Rejected
RET_00315,ORD_001637,11/27/2025,Size Issue,858.19,Pending
RET_00316,ORD_004767,11/6/2025,Quality Issue,46.34,Pending
RET_00317,ORD_000657,10/19/2025,Defective,414.96,Processed
RET_00318,ORD_000105,11/24/2025,Defective,367.56,Processed
RET_00319,ORD_000381,12/4/2025,Changed Mind,454.54,Processed
RET_00320,ORD_004796,12/2/2025,Changed Mind,313.55,Rejected
RET_00321,ORD_004163,11/24/2025,Wrong Item,198.5,Rejected
RET_00322,ORD_004966,10/25/2025,Defective,1166.37,Pending
RET_00323,ORD_006785,1/4/2026,Defective,415.03,Pending
RET_00325,ORD_007505,11/18/2025,Quality Issue,575.57,Processed
RET_00326,ORD_006710,11/4/2025,Wrong Item,1309.6,Pending
RET_00327,ORD_003834,12/1/2025,Size Issue,1054.7,Pending
RET_00328,ORD_007407,11/20/2025,Changed Mind,660.54,Processed
RET_00329,ORD_006523,11/21/2025,Changed Mind,275.34,Rejected
RET_00330,ORD_003008,12/27/2025,Size Issue,597.95,Rejected
RET_00331,ORD_002796,12/17/2025,Changed Mind,708.69,Pending
RET_00332,ORD_005412,1/5/2026,Defective,353.39,Rejected
RET_00333,ORD_006844,11/14/2025,Quality Issue,807.89,Pending
RET_00334,ORD_002944,11/5/2025,Changed Mind,988.75,Pending
RET_00335,ORD_002934,1/3/2026,Wrong Item,606.9,Rejected
RET_00336,ORD_003634,11/4/2025,Quality Issue,839.25,Pending
RET_00338,ORD_002800,1/1/2026,Quality Issue,1296.55,Pending
RET_00339,ORD_007277,1/16/2026,Size Issue,270.09,Rejected
RET_00340,ORD_001644,11/22/2025,Defective,811.57,Pending
RET_00341,ORD_007459,11/2/2025,Quality Issue,195.01,Rejected
RET_00342,ORD_007317,12/11/2025,Wrong Item,397.09,Rejected
RET_00343,ORD_000752,11/2/2025,Wrong Item,662.89,Processed
RET_00344,ORD_002678,12/8/2025,Changed Mind,438.8,Pending
RET_00345,ORD_000016,10/22/2025,Quality Issue,596.58,Rejected
RET_00346,ORD_007081,11/19/2025,Changed Mind,649.72,Rejected
RET_00347,ORD_000426,11/17/2025,Size Issue,1354.11,Pending
RET_00348,ORD_002156,10/17/2025,Defective,341.55,Rejected
RET_00349,ORD_007975,12/8/2025,Wrong Item,1341.23,Processed
RET_00350,ORD_002173,12/10/2025,Size Issue,668.59,Rejected
RET_00351,ORD_001846,10/23/2025,Changed Mind,688,Pending
RET_00352,ORD_005484,1/5/2026,Wrong Item,250.87,Processed
RET_00353,ORD_006729,10/29/2025,Wrong Item,239.41,Processed
RET_00354,ORD_004068,12/7/2025,Quality Issue,332.21,Rejected
RET_00355,ORD_006982,11/19/2025,Defective,144.78,Rejected
RET_00357,ORD_006059,12/20/2025,Size Issue,210.24,Rejected
RET_00358,ORD_006980,11/6/2025,Changed Mind,193.5,Rejected
RET_00360,ORD_006482,11/26/2025,Wrong Item,1320.31,Processed
RET_00362,ORD_000619,11/5/2025,Quality Issue,700.82,Rejected
RET_00363,ORD_005349,12/2/2025,Changed Mind,1185.15,Pending
RET_00364,ORD_002053,11/18/2025,Quality Issue,338.77,Rejected
RET_00365,ORD_004315,12/23/2025,Wrong Item,1668.99,Rejected
RET_00367,ORD_002159,11/16/2025,Wrong Item,648.48,Processed
RET_00368,ORD_003683,10/19/2025,Changed Mind,291.87,Processed
RET_00369,ORD_005587,12/31/2025,Defective,311.55,Rejected
RET_00370,ORD_007908,12/11/2025,Defective,578.73,Processed
RET_00371,ORD_005413,10/22/2025,Changed Mind,892.42,Processed
RET_00372,ORD_001424,12/15/2025,Size Issue,521.92,Pending
RET_00373,ORD_000325,10/26/2025,Quality Issue,825.51,Processed
RET_00374,ORD_003030,10/21/2025,Changed Mind,181.15,Processed
RET_00375,ORD_004549,12/15/2025,Size Issue,622.38,Processed
RET_00376,ORD_000901,12/21/2025,Size Issue,818.85,Processed
RET_00377,ORD_003968,12/9/2025,Changed Mind,558.46,Pending
RET_00378,ORD_006877,11/26/2025,Wrong Item,213.21,Pending
RET_00379,ORD_003867,11/4/2025,Defective,957.3,Processed
RET_00380,ORD_005958,12/10/2025,Size Issue,1413.08,Rejected
RET_00381,ORD_003379,11/20/2025,Changed Mind,201.5,Rejected
RET_00382,ORD_005491,12/8/2025,Wrong Item,368.42,Processed
RET_00383,ORD_003852,12/25/2025,Changed Mind,493.13,Processed
RET_00384,ORD_000230,11/26/2025,Defective,51.91,Rejected
RET_00385,ORD_002348,10/31/2025,Size Issue,1023.93,Processed
RET_00386,ORD_006136,12/13/2025,Wrong Item,778.3,Rejected
RET_00389,ORD_006317,12/7/2025,Defective,669.66,Processed
RET_00390,ORD_003916,10/26/2025,Quality Issue,1037.88,Rejected
RET_00391,ORD_001951,11/8/2025,Quality Issue,1059.76,Rejected
RET_00392,ORD_002935,10/30/2025,Defective,1615.15,Pending
RET_00393,ORD_005722,10/16/2025,Defective,388.94,Rejected
RET_00394,ORD_007181,12/17/2025,Size Issue,905.87,Pending
RET_00395,ORD_000956,1/7/2026,Defective,1089.55,Pending
RET_00396,ORD_006451,11/25/2025,Size Issue,1067.01,Processed
RET_00397,ORD_000098,10/16/2025,Size Issue,61.69,Pending
RET_00398,ORD_004255,11/7/2025,Defective,977.66,Pending
RET_00399,ORD_005709,10/22/2025,Wrong Item,1381.21,Processed
RET_00400,ORD_007715,12/6/2025,Quality Issue,710.1,Rejected
RET_00401,ORD_004849,11/27/2025,Defective,1496.31,Processed
RET_00402,ORD_000649,11/7/2025,Wrong Item,503.23,Pending
RET_00403,ORD_007498,11/2/2025,Wrong Item,1089.77,Pending
RET_00404,ORD_004624,11/28/2025,Quality Issue,1222.4,Rejected
RET_00405,ORD_007726,12/21/2025,Wrong Item,351.17,Pending
RET_00406,ORD_003869,12/9/2025,Wrong Item,263.51,Pending
RET_00408,ORD_006293,12/24/2025,Wrong Item,486.17,Processed
RET_00409,ORD_000462,11/29/2025,Changed Mind,655.2,Processed
RET_00410,ORD_003361,11/1/2025,Quality Issue,594.65,Processed
RET_00411,ORD_002911,12/14/2025,Size Issue,1319.77,Rejected
RET_00412,ORD_005037,12/22/2025,Changed Mind,559.32,Processed
RET_00413,ORD_006959,12/29/2025,Wrong Item,964.46,Rejected
RET_00415,ORD_000216,11/2/2025,Changed Mind,173.42,Processed
RET_00416,ORD_003368,1/1/2026,Size Issue,1716.16,Rejected
RET_00417,ORD_001565,12/4/2025,Quality Issue,1013,Rejected
RET_00418,ORD_000929,11/6/2025,Defective,257.94,Processed
RET_00419,ORD_005067,10/12/2025,Changed Mind,1203.49,Processed
RET_00420,ORD_005271,12/19/2025,Wrong Item,1215.39,Rejected
RET_00421,ORD_006776,11/4/2025,Wrong Item,331.81,Pending
RET_00422,ORD_006265,12/25/2025,Quality Issue,1595.29,Pending
RET_00423,ORD_005462,10/19/2025,Size Issue,787.34,Rejected
RET_00424,ORD_001111,12/5/2025,Size Issue,1034.74,Rejected
RET_00425,ORD_003752,12/10/2025,Changed Mind,428.27,Rejected
RET_00426,ORD_002637,11/22/2025,Quality Issue,1014.14,Processed
RET_00428,ORD_003275,10/29/2025,Size Issue,161.38,Rejected
RET_00429,ORD_003316,1/6/2026,Size Issue,1062.29,Rejected
RET_00430,ORD_002231,12/2/2025,Quality Issue,1029.92,Pending
RET_00431,ORD_002904,11/8/2025,Size Issue,351.55,Processed
RET_00432,ORD_006028,10/21/2025,Defective,89.57,Processed
RET_00433,ORD_003616,11/3/2025,Size Issue,365.09,Pending
RET_00434,ORD_006320,11/16/2025,Changed Mind,708.14,Rejected
RET_00435,ORD_006372,11/27/2025,Quality Issue,998.7,Pending
RET_00436,ORD_002146,12/9/2025,Changed Mind,798.67,Rejected
RET_00437,ORD_002301,1/11/2026,Wrong Item,517.21,Pending
RET_00438,ORD_006605,11/21/2025,Defective,170.53,Rejected
RET_00439,ORD_002038,12/1/2025,Wrong Item,390.55,Rejected
RET_00440,ORD_005665,12/6/2025,Quality Issue,388.57,Pending
RET_00441,ORD_005764,12/20/2025,Quality Issue,262.28,Rejected
RET_00443,ORD_003274,12/7/2025,Defective,309.67,Rejected
RET_00444,ORD_000517,11/10/2025,Changed Mind,1145.84,Pending
RET_00445,ORD_000305,11/24/2025,Changed Mind,538.58,Processed
RET_00446,ORD_007537,12/18/2025,Changed Mind,861.08,Rejected
RET_00447,ORD_003241,12/10/2025,Changed Mind,769.59,Processed
RET_00448,ORD_002959,10/28/2025,Wrong Item,909.32,Rejected
RET_00449,ORD_005906,12/22/2025,Defective,1232.41,Processed
RET_00450,ORD_000488,10/25/2025,Quality Issue,685.29,Processed
RET_00451,ORD_003570,11/15/2025,Changed Mind,719.66,Processed
RET_00452,ORD_001806,10/27/2025,Size Issue,633.79,Pending
RET_00453,ORD_002383,11/15/2025,Wrong Item,398.2,Pending
RET_00454,ORD_005369,11/9/2025,Defective,92.98,Processed
RET_00455,ORD_005527,12/25/2025,Defective,864.26,Rejected
