fulfillment_id,order_id,warehouse_hub,delivery_zone,promised_date,actual_delivery_date,delivery_status,delay_reason,delivery_partner
FULL_000028,ORD_000028,Sharjah Hub,Zone C,2025-11-26,2025-11-25,On Time,,SpeedLink
FULL_000029,ORD_000029,Sharjah Hub,Zone D,2025-10-19,2025-10-19,On Time,,QuickShip
FULL_000030,ORD_000030,Sharjah Hub,Zone E,2025-12-03,2025-12-03,On Time,,FastTrack
FULL_000031,ORD_000031,Abu Dhabi Hub,Zone C,2026-01-07,,Pending,,FastTrack
FULL_000032,ORD_000032,Sharjah Hub,Zone B,2025-12-01,2025-12-01,On Time,,QuickShip
FULL_000033,ORD_000033,Sharjah Hub,Zone E,2025-12-04,,Failed,Customer Unavailable,QuickShip
FULL_000034,ORD_000034,Abu Dhabi Hub,Zone D,2025-12-02,2025-12-07,Delayed,Traffic/Weather,QuickShip
FULL_000035,ORD_000035,Dubai Hub,Zone A,2025-10-25,,Failed,Address Issue,FastTrack
FULL_000036,ORD_000036,Abu Dhabi Hub,Zone C,2025-12-06,2025-12-07,Delayed,Warehouse Delay,SpeedLink
FULL_000037,ORD_000037,Dubai Hub,Zone A,2025-12-09,,Failed,Customer Unavailable,FastTrack
FULL_000038,ORD_000038,Dubai Hub,Zone E,2025-12-30,,Failed,Customer Unavailable,QuickShip
FULL_000039,ORD_000039,Dubai Hub,Zone B,2025-11-20,2025-11-24,Delayed,Traffic/Weather,SpeedLink
FULL_000040,ORD_000040,Dubai Hub,Zone A,2025-12-10,2025-12-10,On Time,,QuickShip
FULL_000041,ORD_000041,Dubai Hub,Zone F,2025-10-31,2025-11-03,Delayed,Traffic/Weather,QuickShip
FULL_000042,ORD_000042,Dubai Hub,Zone D,2025-12-27,,Pending,,SpeedLink
FULL_000043,ORD_000043,Dubai Hub,Zone E,2025-11-14,2025-11-18,Delayed,Address Issue,FastTrack
FULL_000044,ORD_000044,Dubai Hub,Zone B,2025-12-25,2025-12-25,On Time,,QuickShip
FULL_000045,ORD_000045,Dubai Hub,Zone C,2025-10-30,2025-10-30,On Time,,QuickShip
FULL_000046,ORD_000046,Dubai Hub,Zone D,2025-11-02,2025-11-03,Delayed,Customer Unavailable,QuickShip
FULL_000047,ORD_000047,Sharjah Hub,Zone B,2025-12-16,,Pending,,QuickShip
FULL_000048,ORD_000048,Dubai Hub,Zone D,2025-12-10,2025-12-10,On Time,,QuickShip
FULL_000049,ORD_000049,Dubai Hub,Zone C,2025-12-06,2025-12-06,On Time,,QuickShip
FULL_000050,ORD_000050,Dubai Hub,Zone C,2025-10-24,2025-10-28,Delayed,Traffic/Weather,QuickShip
FULL_000051,ORD_000051,Abu Dhabi Hub,Zone A,2025-12-18,2025-12-16,On Time,,QuickShip
FULL_000052,ORD_000052,Dubai Hub,Zone C,2025-10-29,2025-10-28,On Time,,QuickShip
FULL_000053,ORD_000053,Dubai Hub,Zone C,2025-12-14,2025-12-18,Delayed,Customer Unavailable,SpeedLink
FULL_000054,ORD_000054,Sharjah Hub,Zone B,2025-11-22,2025-11-22,On Time,,SpeedLink
FULL_000055,ORD_000055,Sharjah Hub,Zone C,2025-11-13,2025-11-13,On Time,,FastTrack
FULL_000056,ORD_000056,Dubai Hub,Zone A,2026-01-05,2026-01-05,On Time,,FastTrack
FULL_000057,ORD_000057,Dubai Hub,Zone E,2025-11-17,2025-11-17,On Time,,SpeedLink
FULL_000058,ORD_000058,Abu Dhabi Hub,Zone E,2025-12-02,2025-11-29,On Time,,QuickShip
FULL_000059,ORD_000059,Abu Dhabi Hub,Zone C,2025-11-13,2025-11-13,On Time,,QuickShip
FULL_000060,ORD_000060,Dubai Hub,Zone B,2025-12-25,2025-12-23,On Time,,FastTrack
FULL_000061,ORD_000061,Dubai Hub,Zone B,2025-10-25,2025-10-23,On Time,,FastTrack
FULL_000062,ORD_000062,Dubai Hub,Zone A,2025-10-22,2025-10-22,On Time,,QuickShip
FULL_000063,ORD_000063,Dubai Hub,Zone D,2025-11-13,2025-11-12,On Time,,QuickShip
FULL_000064,ORD_000064,Dubai Hub,Zone F,2025-10-20,2025-10-20,On Time,,QuickShip
FULL_000065,ORD_000065,Dubai Hub,Zone C,2025-11-01,,Failed,Customer Unavailable,SpeedLink
FULL_000066,ORD_000066,Dubai Hub,Zone F,2025-11-30,2025-11-28,On Time,,QuickShip
FULL_000067,ORD_000067,Dubai Hub,Zone A,2025-12-05,2025-12-02,On Time,,FastTrack
FULL_000068,ORD_000068,Dubai Hub,Zone A,2025-11-11,,Failed,Address Issue,SpeedLink
FULL_000069,ORD_000069,Abu Dhabi Hub,Zone A,2025-12-13,,Failed,Address Issue,QuickShip
FULL_000070,ORD_000070,Sharjah Hub,Zone A,2025-11-29,2025-11-29,On Time,,QuickShip
FULL_000071,ORD_000071,Sharjah Hub,Zone E,2025-10-09,2025-10-11,Delayed,Rider Unavailable,FastTrack
FULL_000072,ORD_000072,Dubai Hub,Zone F,2025-10-18,,Pending,,SpeedLink
FULL_000073,ORD_000073,Abu Dhabi Hub,Zone A,2025-12-20,2025-12-23,Delayed,Traffic/Weather,SpeedLink
FULL_000074,ORD_000074,Abu Dhabi Hub,Zone A,2025-10-18,,Pending,,SpeedLink
FULL_000075,ORD_000075,Abu Dhabi Hub,Zone C,2025-11-21,2025-11-21,On Time,,FastTrack
FULL_000076,ORD_000076,Abu Dhabi Hub,Zone D,2025-11-04,2025-11-03,On Time,,SpeedLink
FULL_000077,ORD_000077,Sharjah Hub,Zone C,2025-10-24,2025-10-22,On Time,,QuickShip
FULL_000078,ORD_000078,Sharjah Hub,Zone D,2025-10-26,2025-10-25,On Time,,SpeedLink
FULL_000079,ORD_000079,Sharjah Hub,Zone C,2025-12-10,,Pending,,QuickShip
FULL_000080,ORD_000080,Sharjah Hub,Zone B,2025-12-06,,Failed,Address Issue,FastTrack
FULL_000081,ORD_000081,Sharjah Hub,Zone B,2025-10-14,2025-10-14,On Time,,SpeedLink
FULL_000082,ORD_000082,Sharjah Hub,Zone A,2025-12-21,,Pending,,FastTrack
FULL_000083,ORD_000083,Sharjah Hub,Zone E,2025-12-30,,Pending,,FastTrack
FULL_000084,ORD_000084,Dubai Hub,Zone F,2025-12-28,2025-12-28,On Time,,SpeedLink
FULL_000085,ORD_000085,Sharjah Hub,Zone D,2025-12-25,2025-12-25,On Time,,FastTrack
FULL_000086,ORD_000086,Sharjah Hub,Zone F,2025-10-17,2025-10-16,On Time,,FastTrack
FULL_000087,ORD_000087,Dubai Hub,Zone F,2025-11-18,2025-11-18,On Time,,QuickShip
FULL_000088,ORD_000088,Dubai Hub,Zone E,2025-11-05,2025-11-04,On Time,,QuickShip
FULL_000089,ORD_000089,Abu Dhabi Hub,Zone C,2025-11-14,2025-11-16,Delayed,Traffic/Weather,FastTrack
FULL_000090,ORD_000090,Abu Dhabi Hub,Zone F,2025-10-29,2025-10-31,Delayed,Rider Unavailable,QuickShip
FULL_000091,ORD_000091,Dubai Hub,Zone C,2025-12-29,,Failed,Customer Unavailable,QuickShip
FULL_000092,ORD_000092,Dubai Hub,Zone A,2025-11-01,2025-10-30,On Time,,SpeedLink
FULL_000093,ORD_000093,Dubai Hub,Zone A,2026-01-06,2026-01-04,On Time,,QuickShip
FULL_000094,ORD_000094,Dubai Hub,Zone F,2025-12-02,,Pending,,QuickShip
FULL_000095,ORD_000095,Sharjah Hub,Zone A,2025-11-01,2025-10-31,On Time,,FastTrack
FULL_000096,ORD_000096,Dubai Hub,Zone A,2025-12-01,,Failed,Address Issue,QuickShip
FULL_000097,ORD_000097,Sharjah Hub,Zone B,2025-12-19,2025-12-23,Delayed,Rider Unavailable,SpeedLink
FULL_000098,ORD_000098,Abu Dhabi Hub,Zone C,2025-10-25,2025-10-24,Delayed,Rider Unavailable,FastTrack
FULL_000099,ORD_000099,Dubai Hub,Zone F,2026-01-03,,Failed,Customer Unavailable,SpeedLink
FULL_000100,ORD_000100,Sharjah Hub,Zone A,2025-12-03,2025-12-05,Delayed,Address Issue,QuickShip
FULL_000101,ORD_000101,Dubai Hub,Zone E,2025-12-16,2025-12-16,On Time,,QuickShip
FULL_000102,ORD_000102,Abu Dhabi Hub,Zone F,2025-11-09,2025-11-08,On Time,,SpeedLink
FULL_000103,ORD_000103,Dubai Hub,Zone F,2025-11-07,2025-11-06,On Time,,FastTrack
FULL_000104,ORD_000104,Dubai Hub,Zone F,2025-11-29,2025-11-29,On Time,,FastTrack
FULL_000105,ORD_000105,Abu Dhabi Hub,Zone B,2025-12-22,2025-12-21,On Time,,FastTrack
FULL_000106,ORD_000106,Abu Dhabi Hub,Zone F,2025-11-25,2025-11-27,Delayed,Traffic/Weather,SpeedLink
FULL_000107,ORD_000107,Dubai Hub,Zone A,2025-11-13,2025-11-13,On Time,,FastTrack
FULL_000108,ORD_000108,Dubai Hub,Zone D,2025-11-12,2025-11-12,On Time,,FastTrack
FULL_000109,ORD_000109,Dubai Hub,Zone E,2025-11-21,2025-11-21,On Time,,QuickShip
FULL_000110,ORD_000110,Abu Dhabi Hub,Zone E,2025-12-21,2025-12-20,On Time,,FastTrack
FULL_000111,ORD_000111,Dubai Hub,Zone C,2025-12-15,2025-12-14,On Time,,FastTrack
FULL_000112,ORD_000112,Dubai Hub,Zone D,2025-11-11,2025-11-16,Delayed,Warehouse Delay,FastTrack
FULL_000113,ORD_000113,Sharjah Hub,Zone E,2025-12-21,2025-12-20,On Time,,SpeedLink
FULL_000114,ORD_000114,Sharjah Hub,Zone F,2025-12-09,2025-12-10,Delayed,Rider Unavailable,FastTrack
FULL_000115,ORD_000115,Dubai Hub,Zone F,2025-12-08,,Pending,,SpeedLink
FULL_000116,ORD_000116,Dubai Hub,Zone B,2025-11-10,2025-11-15,Delayed,Warehouse Delay,FastTrack
FULL_000117,ORD_000117,Abu Dhabi Hub,Zone B,2025-11-22,2025-11-26,Delayed,Traffic/Weather,SpeedLink
FULL_000118,ORD_000118,Dubai Hub,Zone F,2026-01-01,2026-01-06,Delayed,Traffic/Weather,FastTrack
FULL_000119,ORD_000119,Dubai Hub,Zone E,2025-12-23,2025-12-23,On Time,,SpeedLink
FULL_000120,ORD_000120,Sharjah Hub,Zone A,2026-01-09,,Failed,Address Issue,QuickShip
FULL_000121,ORD_000121,Dubai Hub,Zone D,2025-11-29,2025-11-28,On Time,,QuickShip
FULL_000122,ORD_000122,Dubai Hub,Zone C,2025-11-14,2025-11-12,On Time,,FastTrack
FULL_000123,ORD_000123,Abu Dhabi Hub,Zone B,2025-12-28,2025-12-26,On Time,,SpeedLink
FULL_000124,ORD_000124,Dubai Hub,Zone C,2026-01-03,2026-01-03,On Time,,SpeedLink
FULL_000125,ORD_000125,Dubai Hub,Zone B,2025-11-25,,Failed,Customer Unavailable,QuickShip
FULL_000126,ORD_000126,Dubai Hub,Zone D,2025-11-04,2025-11-03,On Time,,QuickShip
FULL_000127,ORD_000127,Dubai Hub,Zone B,2025-12-11,,Failed,Address Issue,QuickShip
FULL_000128,ORD_000128,Sharjah Hub,Zone A,2025-11-19,2025-11-19,On Time,,FastTrack
FULL_000129,ORD_000129,Dubai Hub,Zone D,2025-10-17,2025-10-16,On Time,,FastTrack
FULL_000130,ORD_000130,Abu Dhabi Hub,Zone F,2025-10-26,2025-10-28,Delayed,Warehouse Delay,SpeedLink
FULL_000131,ORD_000131,Abu Dhabi Hub,Zone E,2025-11-16,2025-11-21,Delayed,Traffic/Weather,SpeedLink
FULL_000132,ORD_000132,Dubai Hub,Zone F,2025-11-02,2025-11-03,On Time,,SpeedLink
FULL_000133,ORD_000133,Abu Dhabi Hub,Zone D,2025-11-02,2025-11-02,On Time,,SpeedLink
FULL_000134,ORD_000134,Sharjah Hub,Zone D,2026-01-05,2026-01-05,On Time,,FastTrack
FULL_000135,ORD_000135,Dubai Hub,Zone D,2025-12-30,,Failed,Address Issue,QuickShip
FULL_000136,ORD_000136,Dubai Hub,Zone C,2025-10-27,2025-10-26,On Time,,FastTrack
FULL_000137,ORD_000137,Dubai Hub,Zone D,2025-10-11,,Failed,Customer Unavailable,QuickShip
FULL_000138,ORD_000138,Sharjah Hub,Zone F,2026-01-02,,Failed,Customer Unavailable,FastTrack
FULL_000139,ORD_000139,Dubai Hub,Zone E,2025-12-05,2025-12-07,Delayed,Address Issue,QuickShip
FULL_000140,ORD_000140,Sharjah Hub,Zone A,2025-12-09,,Pending,,SpeedLink
FULL_000141,ORD_000141,Sharjah Hub,Zone A,2025-11-23,2025-11-24,Delayed,Rider Unavailable,QuickShip
FULL_000142,ORD_000142,Sharjah Hub,Zone A,2025-12-16,2025-12-15,On Time,,FastTrack
FULL_000143,ORD_000143,Sharjah Hub,Zone C,2025-10-28,,Pending,,SpeedLink
FULL_000144,ORD_000144,Dubai Hub,Zone A,2025-12-03,2025-12-03,On Time,,SpeedLink
FULL_000145,ORD_000145,Dubai Hub,Zone C,2025-10-27,2025-10-26,On Time,,QuickShip
FULL_000146,ORD_000146,Abu Dhabi Hub,Zone F,2025-10-26,2025-10-26,On Time,,SpeedLink
FULL_000147,ORD_000147,Abu Dhabi Hub,Zone D,2025-10-27,2025-11-01,Delayed,Warehouse Delay,SpeedLink
FULL_000148,ORD_000148,Dubai Hub,Zone F,2025-12-30,2025-12-30,On Time,,QuickShip
FULL_000149,ORD_000149,Dubai Hub,Zone C,2025-12-19,2025-12-23,Delayed,Traffic/Weather,QuickShip
FULL_000150,ORD_000150,Abu Dhabi Hub,Zone E,2025-10-25,2025-10-25,On Time,,SpeedLink
FULL_000151,ORD_000151,Dubai Hub,Zone B,2025-11-05,2025-11-07,Delayed,Address Issue,SpeedLink
FULL_000152,ORD_000152,Dubai Hub,Zone E,2025-11-14,,Failed,Customer Unavailable,SpeedLink
FULL_000153,ORD_000153,Abu Dhabi Hub,Zone B,2026-01-02,2026-01-01,On Time,,SpeedLink
FULL_000154,ORD_000154,Dubai Hub,Zone A,2025-11-20,2025-11-17,On Time,,SpeedLink
FULL_000155,ORD_000155,Sharjah Hub,Zone F,2025-12-04,2025-12-02,On Time,,SpeedLink
FULL_000156,ORD_000156,Dubai Hub,Zone A,2025-11-19,2025-11-17,On Time,,QuickShip
FULL_000157,ORD_000157,Dubai Hub,Zone D,2025-12-03,,Pending,,QuickShip
FULL_000158,ORD_000158,Sharjah Hub,Zone B,2025-12-03,2025-12-03,On Time,,SpeedLink
FULL_000159,ORD_000159,Sharjah Hub,Zone E,2025-10-21,,Failed,Address Issue,FastTrack
FULL_000160,ORD_000160,Abu Dhabi Hub,Zone D,2025-12-22,2025-12-22,On Time,,SpeedLink
FULL_000161,ORD_000161,Sharjah Hub,Zone E,2025-12-18,2025-12-18,On Time,,FastTrack
FULL_000162,ORD_000162,Dubai Hub,Zone A,2025-11-03,2025-11-02,On Time,,FastTrack
FULL_000163,ORD_000163,Dubai Hub,Zone E,2025-11-16,2025-11-15,On Time,,QuickShip
FULL_000164,ORD_000164,Dubai Hub,Zone F,2025-10-30,2025-11-01,Delayed,Traffic/Weather,SpeedLink
FULL_000165,ORD_000165,Dubai Hub,Zone B,2025-12-03,2025-12-08,Delayed,Address Issue,FastTrack
FULL_000166,ORD_000166,Sharjah Hub,Zone E,2025-11-13,2025-11-13,On Time,,FastTrack
FULL_000167,ORD_000167,Dubai Hub,Zone A,2025-12-11,,Pending,,FastTrack
FULL_000168,ORD_000168,Dubai Hub,Zone F,2026-01-04,2026-01-07,Delayed,Rider Unavailable,FastTrack
FULL_000169,ORD_000169,Sharjah Hub,Zone C,2025-11-10,,Pending,,FastTrack
FULL_000170,ORD_000170,Sharjah Hub,Zone C,2026-01-06,,Failed,Customer Unavailable,FastTrack
FULL_000171,ORD_000171,Abu Dhabi Hub,Zone B,2025-12-29,,Pending,,QuickShip
FULL_000172,ORD_000172,Sharjah Hub,Zone B,2025-12-28,2025-12-28,On Time,,SpeedLink
FULL_000173,ORD_000173,Dubai Hub,Zone E,2025-12-19,2025-12-20,Delayed,Traffic/Weather,FastTrack
FULL_000174,ORD_000174,Dubai Hub,Zone C,2025-10-23,2025-10-23,On Time,,QuickShip
FULL_000175,ORD_000175,Sharjah Hub,Zone B,2025-12-14,2025-12-14,On Time,,SpeedLink
FULL_000176,ORD_000176,Dubai Hub,Zone B,2025-10-31,2025-11-02,Delayed,Address Issue,FastTrack
FULL_000177,ORD_000177,Abu Dhabi Hub,Zone A,2025-12-03,,Pending,,FastTrack
FULL_000178,ORD_000178,Dubai Hub,Zone D,2025-10-10,,Failed,Address Issue,FastTrack
FULL_000179,ORD_000179,Abu Dhabi Hub,Zone F,2025-12-04,2025-12-03,On Time,,SpeedLink
FULL_000180,ORD_000180,Abu Dhabi Hub,Zone C,2025-10-13,2025-10-15,Delayed,Traffic/Weather,QuickShip
FULL_000181,ORD_000181,Dubai Hub,Zone A,2025-11-16,,Pending,,QuickShip
FULL_000182,ORD_000182,Dubai Hub,Zone A,2025-10-22,2025-10-22,On Time,,QuickShip
FULL_000183,ORD_000183,Dubai Hub,Zone C,2025-11-02,2025-11-02,On Time,,FastTrack
FULL_000184,ORD_000184,Dubai Hub,Zone F,2025-10-26,2025-10-27,Delayed,Warehouse Delay,QuickShip
FULL_000185,ORD_000185,Sharjah Hub,Zone D,2025-12-27,2025-12-24,On Time,,FastTrack
FULL_000186,ORD_000186,Dubai Hub,Zone B,2025-12-22,2025-12-21,On Time,,FastTrack
FULL_000187,ORD_000187,Sharjah Hub,Zone D,2025-10-21,2025-10-22,Delayed,Warehouse Delay,FastTrack
FULL_000188,ORD_000188,Dubai Hub,Zone A,2025-11-02,2025-11-01,On Time,,SpeedLink
FULL_000189,ORD_000189,Dubai Hub,Zone B,2025-10-20,2025-10-20,On Time,,FastTrack
FULL_000190,ORD_000190,Dubai Hub,Zone D,2025-12-06,2025-12-03,On Time,,SpeedLink
FULL_000191,ORD_000191,Dubai Hub,Zone B,2025-11-28,2025-11-28,On Time,,QuickShip
FULL_000192,ORD_000192,Dubai Hub,Zone E,2025-11-18,2025-11-18,On Time,,SpeedLink
FULL_000193,ORD_000193,Sharjah Hub,Zone D,2025-12-21,2025-12-20,On Time,,SpeedLink
FULL_000194,ORD_000194,Dubai Hub,Zone D,2025-11-14,,Failed,Customer Unavailable,FastTrack
FULL_000195,ORD_000195,Dubai Hub,Zone B,2025-11-17,2025-11-19,Delayed,Warehouse Delay,SpeedLink
FULL_000196,ORD_000196,Abu Dhabi Hub,Zone B,2025-12-09,2025-12-13,Delayed,Address Issue,QuickShip
FULL_000197,ORD_000197,Abu Dhabi Hub,Zone A,2025-11-29,,Pending,,FastTrack
FULL_000198,ORD_000198,Dubai Hub,Zone E,2025-11-27,2025-11-27,On Time,,QuickShip
FULL_000199,ORD_000199,Abu Dhabi Hub,Zone E,2025-10-16,2025-10-16,On Time,,QuickShip
FULL_000200,ORD_000200,Dubai Hub,Zone F,2025-11-30,,Failed,Customer Unavailable,QuickShip
FULL_000201,ORD_000201,Dubai Hub,Zone C,2025-12-24,2025-12-21,On Time,,SpeedLink
FULL_000202,ORD_000202,Dubai Hub,Zone C,2026-01-03,2026-01-01,On Time,,FastTrack
FULL_000203,ORD_000203,Abu Dhabi Hub,Zone F,2025-10-27,2025-10-27,On Time,,QuickShip
FULL_000204,ORD_000204,Dubai Hub,Zone D,2025-11-07,,Failed,Address Issue,SpeedLink
FULL_000205,ORD_000205,Sharjah Hub,Zone E,2026-01-05,2026-01-05,On Time,,QuickShip
FULL_000206,ORD_000206,Dubai Hub,Zone C,2025-10-20,2025-10-25,Delayed,Traffic/Weather,FastTrack
FULL_000207,ORD_000207,Dubai Hub,Zone F,2025-12-12,2025-12-11,On Time,,QuickShip
FULL_000208,ORD_000208,Dubai Hub,Zone F,2025-12-04,2025-12-04,On Time,,SpeedLink
FULL_000209,ORD_000209,Dubai Hub,Zone B,2025-11-28,2025-11-26,On Time,,SpeedLink
FULL_000210,ORD_000210,Dubai Hub,Zone D,2025-11-17,2025-11-17,On Time,,FastTrack
FULL_000211,ORD_000211,Sharjah Hub,Zone E,2025-11-27,2025-12-01,Delayed,Rider Unavailable,SpeedLink
FULL_000212,ORD_000212,Dubai Hub,Zone E,2025-12-10,2025-12-11,Delayed,Address Issue,QuickShip
FULL_000213,ORD_000213,Abu Dhabi Hub,Zone C,2025-12-13,2025-12-10,On Time,,SpeedLink
FULL_000214,ORD_000214,Sharjah Hub,Zone E,2025-11-13,,Pending,,FastTrack
FULL_000215,ORD_000215,Dubai Hub,Zone B,2025-11-23,,Failed,Address Issue,SpeedLink
FULL_000216,ORD_000216,Sharjah Hub,Zone B,2025-10-21,,Failed,Customer Unavailable,QuickShip
FULL_000217,ORD_000217,Sharjah Hub,Zone C,2025-11-11,,Failed,Customer Unavailable,FastTrack
FULL_000218,ORD_000218,Dubai Hub,Zone A,2026-01-04,2026-01-04,On Time,,QuickShip
FULL_000219,ORD_000219,Dubai Hub,Zone E,2025-12-17,2025-12-18,Delayed,Customer Unavailable,FastTrack
FULL_000220,ORD_000220,Abu Dhabi Hub,Zone C,2025-12-12,2025-12-12,On Time,,FastTrack
FULL_000221,ORD_000221,Sharjah Hub,Zone A,2025-10-10,2025-10-10,On Time,,QuickShip
FULL_000222,ORD_000222,Abu Dhabi Hub,Zone F,2025-10-20,,Failed,Customer Unavailable,QuickShip
FULL_000223,ORD_000223,Abu Dhabi Hub,Zone D,2025-12-13,2025-12-18,Delayed,Traffic/Weather,FastTrack
FULL_000224,ORD_000224,Sharjah Hub,Zone D,2025-11-15,2025-11-15,On Time,,QuickShip
FULL_000225,ORD_000225,Abu Dhabi Hub,Zone A,2025-12-15,2025-12-16,Delayed,Warehouse Delay,FastTrack
FULL_000226,ORD_000226,Dubai Hub,Zone B,2025-12-27,2025-12-27,On Time,,FastTrack
FULL_000227,ORD_000227,Sharjah Hub,Zone C,2025-12-24,2025-12-29,Delayed,Warehouse Delay,SpeedLink
FULL_000228,ORD_000228,Dubai Hub,Zone F,2025-12-04,,Failed,Customer Unavailable,FastTrack
FULL_000229,ORD_000229,Sharjah Hub,Zone D,2025-11-18,2025-11-19,Delayed,Warehouse Delay,SpeedLink
FULL_000230,ORD_000230,Abu Dhabi Hub,Zone E,2025-11-12,2025-11-09,On Time,,SpeedLink
FULL_000231,ORD_000231,Dubai Hub,Zone F,2025-12-22,2025-12-24,Delayed,Traffic/Weather,QuickShip
FULL_000232,ORD_000232,Dubai Hub,Zone C,2025-12-20,2025-12-19,On Time,,FastTrack
FULL_000233,ORD_000233,Dubai Hub,Zone B,2025-10-27,2025-10-26,On Time,,QuickShip
FULL_000234,ORD_000234,Dubai Hub,Zone B,2025-12-03,2025-12-02,On Time,,FastTrack
FULL_000235,ORD_000235,Abu Dhabi Hub,Zone C,2025-12-30,2025-12-29,On Time,,QuickShip
FULL_000236,ORD_000236,Sharjah Hub,Zone B,2025-10-25,,Failed,Customer Unavailable,FastTrack
FULL_000237,ORD_000237,Dubai Hub,Zone D,2025-12-01,,Failed,Address Issue,FastTrack
FULL_000238,ORD_000238,Dubai Hub,Zone B,2025-10-11,2025-10-11,On Time,,FastTrack
FULL_000239,ORD_000239,Abu Dhabi Hub,Zone F,2025-10-15,2025-10-20,Delayed,Rider Unavailable,QuickShip
FULL_000240,ORD_000240,Dubai Hub,Zone A,2025-10-20,2025-10-25,Delayed,Traffic/Weather,SpeedLink
FULL_000241,ORD_000241,Dubai Hub,Zone F,2026-01-04,2026-01-01,On Time,,QuickShip
FULL_000242,ORD_000242,Abu Dhabi Hub,Zone B,2025-10-24,2025-10-28,Delayed,Warehouse Delay,QuickShip
FULL_000243,ORD_000243,Sharjah Hub,Zone F,2025-12-11,2025-12-16,Delayed,Warehouse Delay,SpeedLink
FULL_000244,ORD_000244,Dubai Hub,Zone D,2025-11-09,2025-11-07,On Time,,FastTrack
FULL_000245,ORD_000245,Sharjah Hub,Zone F,2025-11-14,2025-11-14,On Time,,SpeedLink
FULL_000246,ORD_000246,Sharjah Hub,Zone E,2025-12-15,,Failed,Address Issue,FastTrack
FULL_000247,ORD_000247,Sharjah Hub,Zone F,2026-01-06,,Failed,Customer Unavailable,QuickShip
FULL_000248,ORD_000248,Abu Dhabi Hub,Zone B,2025-11-17,2025-11-22,Delayed,Traffic/Weather,FastTrack
FULL_000249,ORD_000249,Sharjah Hub,Zone E,2026-01-04,2026-01-06,On Time,,FastTrack
FULL_000250,ORD_000250,Dubai Hub,Zone D,2026-01-06,2026-01-04,On Time,,SpeedLink
FULL_000251,ORD_000251,Abu Dhabi Hub,Zone C,2025-11-30,2025-11-27,On Time,,QuickShip
FULL_000252,ORD_000252,Dubai Hub,Zone E,2025-11-09,2025-11-09,On Time,,FastTrack
FULL_000253,ORD_000253,Dubai Hub,Zone D,2025-10-13,2025-10-13,On Time,,QuickShip
