item_id,order_id,product_category,product_name,quantity,unit_price,item_total
ITEM_000025,ORD_000013,Groceries,Nescafe Coffee,1,178.56,178.56
ITEM_000026,ORD_000013,Fashion,Zara Dress,2,68.97,137.94
ITEM_000027,ORD_000013,Home & Kitchen,Braun Blender,3,50.46,151.38
ITEM_000028,ORD_000014,Beauty,Nivea Cream,2,99.03,198.06
ITEM_000029,ORD_000014,Fashion,Calvin Klein Watch,3,128.68,386.04
ITEM_000030,ORD_000015,Beauty,MAC Lipstick,1,476.66,476.66
ITEM_000031,ORD_000016,Fashion,Tommy Hilfiger Shirt,2,344.8,689.6
ITEM_000032,ORD_000017,Groceries,Basmati Rice 5kg,2,180.28,360.56
ITEM_000033,ORD_000017,Electronics,Samsung Galaxy S23,1,264.23,264.23
ITEM_000034,ORD_000018,Electronics,PS5 Console,3,229.19,687.57
ITEM_000035,ORD_000019,Fashion,Puma Sneakers,1,499.51,499.51
ITEM_000036,ORD_000019,Beauty,Dove Shampoo,2,52.19,104.38
ITEM_000037,ORD_000019,Electronics,Apple Watch Series 8,2,115.2,230.4
ITEM_000038,ORD_000020,Electronics,"LG 55"" OLED TV",1,150.09,150.09
ITEM_000039,ORD_000020,Home & Kitchen,Nespresso Machine,1,130.11,130.11
ITEM_000040,ORD_000021,Groceries,Lay's Chips,2,176.29,352.58
ITEM_000041,ORD_000021,Home & Kitchen,Nespresso Machine,2,92.6,185.2
ITEM_000042,ORD_000021,Electronics,iPhone 14 Pro,3,95.75,287.25
ITEM_000043,ORD_000022,Home & Kitchen,Tefal Cookware,2,305.85,611.7
ITEM_000044,ORD_000023,Fashion,Puma Sneakers,2,116.83,233.66
ITEM_000045,ORD_000023,Electronics,Sony WH-1000XM5,1,105.38,105.38
ITEM_000046,ORD_000023,Home & Kitchen,IKEA Sofa,2,50.3,100.6
ITEM_000047,ORD_000023,Beauty,L'Oreal Serum,1,165.0,165.0
ITEM_000048,ORD_000024,Beauty,Garnier Face Wash,2,105.28,210.56
ITEM_000049,ORD_000025,Home & Kitchen,KitchenAid Mixer,3,323.49,970.47
ITEM_000050,ORD_000026,Beauty,Gillette Razor,3,39.35,118.05
ITEM_000051,ORD_000026,Groceries,Fresh Fruits Basket,3,74.86,224.58
ITEM_000052,ORD_000027,Home & Kitchen,IKEA Sofa,3,57.33,171.99
ITEM_000053,ORD_000027,Groceries,Nescafe Coffee,1,450.96,450.96
ITEM_000054,ORD_000028,Electronics,Sony WH-1000XM5,3,311.5,934.5
ITEM_000055,ORD_000028,Home & Kitchen,KitchenAid Mixer,2,130.77,261.54
ITEM_000056,ORD_000028,Beauty,Nivea Cream,2,280.72,561.44
ITEM_000057,ORD_000029,Electronics,Sony WH-1000XM5,3,150.26,450.78
ITEM_000058,ORD_000029,Fashion,Adidas Hoodie,3,45.2,135.6
ITEM_000059,ORD_000029,Home & Kitchen,Samsung Fridge,1,348.25,348.25
ITEM_000060,ORD_000030,Electronics,"LG 55"" OLED TV",1,1137.74,1137.74
ITEM_000061,ORD_000031,Beauty,Olay Moisturizer,3,162.09,486.27
ITEM_000062,ORD_000032,Fashion,Tommy Hilfiger Shirt,1,360.88,360.88
ITEM_000063,ORD_000032,Home & Kitchen,Le Creuset Pot,1,292.51,292.51
ITEM_000064,ORD_000033,Beauty,Maybelline Mascara,3,144.65,433.95
ITEM_000065,ORD_000034,Beauty,The Ordinary Set,1,287.51,287.51
ITEM_000066,ORD_000034,Groceries,Basmati Rice 5kg,1,250.79,250.79
ITEM_000067,ORD_000035,Home & Kitchen,Le Creuset Pot,1,417.61,417.61
ITEM_000068,ORD_000036,Home & Kitchen,KitchenAid Mixer,2,238.07,476.14
ITEM_000069,ORD_000037,Home & Kitchen,Dyson Vacuum,1,912.92,912.92
ITEM_000070,ORD_000037,Beauty,The Ordinary Set,2,274.46,548.92
ITEM_000071,ORD_000037,Fashion,Zara Dress,1,313.03,313.03
ITEM_000072,ORD_000037,Groceries,Coca Cola Pack,1,482.93,482.93
ITEM_000073,ORD_000038,Beauty,Dove Shampoo,1,963.58,963.58
ITEM_000074,ORD_000039,Home & Kitchen,IKEA Sofa,1,987.5,987.5
ITEM_000075,ORD_000040,Home & Kitchen,Dyson Vacuum,3,45.19,135.57
ITEM_000076,ORD_000040,Groceries,Barilla Pasta,1,375.78,375.78
ITEM_000077,ORD_000041,Groceries,Lay's Chips,3,155.78,467.34
ITEM_000078,ORD_000042,Home & Kitchen,KitchenAid Mixer,2,587.12,1174.24
ITEM_000079,ORD_000043,Beauty,L'Oreal Serum,3,202.34,607.02
ITEM_000080,ORD_000044,Home & Kitchen,Braun Blender,3,120.03,360.09
ITEM_000081,ORD_000044,Fashion,Nike Air Max,1,497.19,497.19
ITEM_000082,ORD_000045,Electronics,"LG 55"" OLED TV",2,46.53,93.06
ITEM_000083,ORD_000046,Fashion,Calvin Klein Watch,3,27.72,83.16
ITEM_000084,ORD_000046,Electronics,iPhone 14 Pro,3,21.45,64.35
ITEM_000085,ORD_000046,Groceries,Kellogg's Cereal,2,35.76,71.52
ITEM_000086,ORD_000047,Home & Kitchen,Philips Air Fryer,1,110.46,110.46
ITEM_000087,ORD_000047,Beauty,Gillette Razor,3,25.71,77.13
ITEM_000088,ORD_000047,Electronics,JBL Speaker,2,54.85,109.7
ITEM_000089,ORD_000048,Electronics,JBL Speaker,3,109.81,329.43
ITEM_000090,ORD_000048,Beauty,Maybelline Mascara,3,104.01,312.03
ITEM_000091,ORD_000048,Fashion,H&M T-Shirt,2,171.94,343.88
ITEM_000092,ORD_000049,Groceries,Lay's Chips,2,394.37,788.74
ITEM_000093,ORD_000050,Beauty,Dove Shampoo,3,47.51,142.53
ITEM_000094,ORD_000050,Groceries,Barilla Pasta,1,131.47,131.47
ITEM_000095,ORD_000051,Home & Kitchen,Dyson Vacuum,3,148.95,446.85
ITEM_000096,ORD_000052,Electronics,Dell XPS Laptop,1,280.44,280.44
ITEM_000097,ORD_000052,Home & Kitchen,Bosch Dishwasher,2,224.36,448.72
ITEM_000098,ORD_000053,Home & Kitchen,Le Creuset Pot,2,45.45,90.9
ITEM_000099,ORD_000054,Groceries,Kellogg's Cereal,1,90.28,90.28
ITEM_000100,ORD_000054,Beauty,Garnier Face Wash,3,14.69,44.07
ITEM_000101,ORD_000054,Fashion,Zara Dress,2,17.61,35.22
ITEM_000102,ORD_000055,Groceries,Fresh Fruits Basket,2,496.81,993.62
ITEM_000103,ORD_000056,Groceries,Coca Cola Pack,2,147.6,295.2
ITEM_000104,ORD_000056,Home & Kitchen,IKEA Sofa,1,386.79,386.79
ITEM_000105,ORD_000057,Groceries,Nescafe Coffee,3,232.71,698.13
ITEM_000106,ORD_000058,Fashion,Ray-Ban Sunglasses,2,18.39,36.78
ITEM_000107,ORD_000058,Home & Kitchen,Bosch Dishwasher,2,7.91,15.82
ITEM_000108,ORD_000058,Beauty,MAC Lipstick,1,35.22,35.22
ITEM_000109,ORD_000059,Fashion,Calvin Klein Watch,2,196.84,393.68
ITEM_000110,ORD_000059,Groceries,Nescafe Coffee,2,43.72,87.44
ITEM_000111,ORD_000059,Beauty,Neutrogena Sunscreen,2,114.78,229.56
ITEM_000112,ORD_000060,Home & Kitchen,KitchenAid Mixer,1,230.81,230.81
ITEM_000113,ORD_000061,Fashion,H&M T-Shirt,1,279.48,279.48
ITEM_000114,ORD_000062,Electronics,iPhone 14 Pro,2,156.15,312.3
ITEM_000115,ORD_000063,Beauty,Olay Moisturizer,1,351.0,351.0
ITEM_000116,ORD_000064,Beauty,Nivea Cream,3,135.92,407.76
ITEM_000117,ORD_000064,Home & Kitchen,Nespresso Machine,3,167.79,503.37
ITEM_000118,ORD_000065,Beauty,Neutrogena Sunscreen,2,571.08,1142.16
ITEM_000119,ORD_000066,Electronics,Canon EOS Camera,3,171.11,513.33
ITEM_000120,ORD_000066,Home & Kitchen,Dyson Vacuum,3,155.92,467.76
ITEM_000121,ORD_000067,Groceries,Basmati Rice 5kg,2,23.72,47.44
ITEM_000122,ORD_000067,Electronics,Apple Watch Series 8,1,132.32,132.32
ITEM_000123,ORD_000068,Electronics,iPad Air,3,47.29,141.87
ITEM_000124,ORD_000068,Groceries,Fresh Fruits Basket,3,22.41,67.23
ITEM_000125,ORD_000068,Home & Kitchen,Le Creuset Pot,1,129.02,129.02
ITEM_000126,ORD_000069,Beauty,Gillette Razor,2,47.47,94.94
ITEM_000127,ORD_000069,Electronics,Canon EOS Camera,3,65.53,196.59
ITEM_000128,ORD_000070,Beauty,Maybelline Mascara,3,31.13,93.39
ITEM_000129,ORD_000070,Home & Kitchen,Samsung Fridge,1,208.53,208.53
ITEM_000130,ORD_000071,Electronics,Canon EOS Camera,3,127.81,383.43
ITEM_000131,ORD_000072,Beauty,Neutrogena Sunscreen,2,71.22,142.44
ITEM_000132,ORD_000072,Groceries,Organic Vegetables Box,1,388.99,388.99
ITEM_000133,ORD_000073,Fashion,Tommy Hilfiger Shirt,3,70.32,210.96
ITEM_000134,ORD_000073,Groceries,Coca Cola Pack,3,74.24,222.72
ITEM_000135,ORD_000074,Groceries,Organic Vegetables Box,2,89.58,179.16
ITEM_000136,ORD_000074,Home & Kitchen,KitchenAid Mixer,2,60.05,120.1
ITEM_000137,ORD_000074,Fashion,Levi's Jeans,1,334.22,334.22
ITEM_000138,ORD_000075,Fashion,Zara Dress,1,675.31,675.31
ITEM_000139,ORD_000076,Fashion,H&M T-Shirt,3,140.35,421.05
ITEM_000140,ORD_000076,Electronics,"LG 55"" OLED TV",1,358.57,358.57
ITEM_000141,ORD_000077,Electronics,iPhone 14 Pro,1,501.04,501.04
ITEM_000142,ORD_000077,Fashion,H&M T-Shirt,3,49.81,149.43
ITEM_000143,ORD_000077,Beauty,Dove Shampoo,1,319.64,319.64
ITEM_000144,ORD_000078,Beauty,Neutrogena Sunscreen,2,416.23,832.46
ITEM_000145,ORD_000079,Beauty,MAC Lipstick,1,403.42,403.42
ITEM_000146,ORD_000079,Electronics,Dell XPS Laptop,3,112.91,338.73
ITEM_000147,ORD_000080,Electronics,Canon EOS Camera,1,671.94,671.94
ITEM_000148,ORD_000081,Groceries,Almarai Milk,3,11.53,34.59
ITEM_000149,ORD_000081,Electronics,PS5 Console,2,13.52,27.04
ITEM_000150,ORD_000081,Fashion,Calvin Klein Watch,2,26.23,52.46
ITEM_000151,ORD_000082,Beauty,MAC Lipstick,2,421.48,842.96
ITEM_000152,ORD_000082,Electronics,iPhone 14 Pro,2,616.34,1232.68
ITEM_000153,ORD_000083,Fashion,Tommy Hilfiger Shirt,2,56.97,113.94
ITEM_000154,ORD_000084,Groceries,Coca Cola Pack,2,22.25,44.5
ITEM_000155,ORD_000084,Fashion,Ray-Ban Sunglasses,3,7.89,23.67
ITEM_000156,ORD_000084,Beauty,MAC Lipstick,3,17.99,53.97
ITEM_000157,ORD_000085,Fashion,Tommy Hilfiger Shirt,2,197.41,394.82
ITEM_000158,ORD_000085,Electronics,"LG 55"" OLED TV",3,146.76,440.28
ITEM_000159,ORD_000086,Home & Kitchen,Le Creuset Pot,2,69.42,138.84
ITEM_000160,ORD_000087,Fashion,Ray-Ban Sunglasses,1,638.55,638.55
ITEM_000161,ORD_000088,Fashion,H&M T-Shirt,1,204.79,204.79
ITEM_000162,ORD_000088,Beauty,Nivea Cream,1,117.63,117.63
ITEM_000163,ORD_000088,Home & Kitchen,IKEA Sofa,2,61.25,122.5
ITEM_000164,ORD_000088,Groceries,Fresh Fruits Basket,3,54.99,164.97
ITEM_000165,ORD_000089,Fashion,Levi's Jeans,1,108.85,108.85
ITEM_000166,ORD_000089,Electronics,iPad Air,3,56.01,168.03
ITEM_000167,ORD_000089,Home & Kitchen,Philips Air Fryer,1,42.66,42.66
ITEM_000168,ORD_000089,Groceries,Lay's Chips,2,52.97,105.94
ITEM_000169,ORD_000090,Beauty,Olay Moisturizer,2,90.25,180.5
ITEM_000170,ORD_000090,Fashion,Zara Dress,3,40.53,121.59
ITEM_000171,ORD_000090,Groceries,Organic Vegetables Box,2,58.19,116.38
ITEM_000172,ORD_000091,Groceries,Organic Vegetables Box,1,67.22,67.22
ITEM_000173,ORD_000091,Home & Kitchen,Le Creuset Pot,2,8.3,16.6
ITEM_000174,ORD_000091,Beauty,Dove Shampoo,2,16.81,33.62
ITEM_000175,ORD_000092,Beauty,The Ordinary Set,1,225.13,225.13
ITEM_000176,ORD_000093,Electronics,Sony WH-1000XM5,3,161.64,484.92
ITEM_000177,ORD_000093,Groceries,Barilla Pasta,3,187.45,562.35
ITEM_000178,ORD_000094,Electronics,Dell XPS Laptop,3,94.16,282.48
ITEM_000179,ORD_000094,Groceries,Barilla Pasta,3,128.72,386.16
ITEM_000180,ORD_000095,Home & Kitchen,IKEA Sofa,3,331.23,993.69
ITEM_000181,ORD_000096,Home & Kitchen,Tefal Cookware,2,265.88,531.76
ITEM_000182,ORD_000096,Groceries,Fresh Fruits Basket,1,903.63,903.63
ITEM_000183,ORD_000097,Beauty,MAC Lipstick,2,71.72,143.44
ITEM_000184,ORD_000097,Fashion,Puma Sneakers,3,102.01,306.03
ITEM_000185,ORD_000098,Fashion,Zara Dress,3,149.36,448.08
ITEM_000186,ORD_000098,Groceries,Nescafe Coffee,1,340.62,340.62
ITEM_000187,ORD_000099,Fashion,Puma Sneakers,2,170.91,341.82
ITEM_000188,ORD_000099,Beauty,Olay Moisturizer,3,74.94,224.82
ITEM_000189,ORD_000099,Home & Kitchen,Dyson Vacuum,2,144.82,289.64
ITEM_000190,ORD_000100,Groceries,Barilla Pasta,2,165.29,330.58
ITEM_000191,ORD_000100,Home & Kitchen,Tefal Cookware,3,30.9,92.7
ITEM_000192,ORD_000100,Beauty,L'Oreal Serum,3,83.33,249.99
ITEM_000193,ORD_000101,Electronics,Dell XPS Laptop,1,1246.7,1246.7
ITEM_000194,ORD_000102,Home & Kitchen,Le Creuset Pot,2,683.57,1367.14
ITEM_000195,ORD_000103,Fashion,Mango Jacket,3,525.16,1575.48
ITEM_000196,ORD_000104,Fashion,Zara Dress,1,289.56,289.56
ITEM_000197,ORD_000105,Home & Kitchen,KitchenAid Mixer,1,900.06,900.06
ITEM_000198,ORD_000106,Beauty,Garnier Face Wash,1,213.35,213.35
ITEM_000199,ORD_000107,Groceries,Basmati Rice 5kg,3,78.09,234.27
ITEM_000200,ORD_000107,Home & Kitchen,Bosch Dishwasher,3,27.56,82.68
ITEM_000201,ORD_000107,Beauty,Nivea Cream,3,11.37,34.11
ITEM_000202,ORD_000107,Electronics,PS5 Console,3,33.78,101.34
ITEM_000203,ORD_000108,Fashion,Adidas Hoodie,3,36.51,109.53
ITEM_000204,ORD_000109,Beauty,MAC Lipstick,3,167.3,501.9
ITEM_000205,ORD_000110,Home & Kitchen,Bosch Dishwasher,2,317.68,635.36
ITEM_000206,ORD_000111,Electronics,Dell XPS Laptop,1,84.58,84.58
ITEM_000207,ORD_000111,Fashion,Tommy Hilfiger Shirt,3,35.85,107.55
ITEM_000208,ORD_000111,Home & Kitchen,Samsung Fridge,1,32.16,32.16
ITEM_000209,ORD_000111,Groceries,Nescafe Coffee,3,22.35,67.05
ITEM_000210,ORD_000112,Groceries,Fresh Fruits Basket,1,624.25,624.25
ITEM_000211,ORD_000113,Beauty,The Ordinary Set,2,476.65,953.3
ITEM_000212,ORD_000114,Electronics,Canon EOS Camera,1,981.77,981.77
ITEM_000213,ORD_000115,Beauty,Maybelline Mascara,1,42.06,42.06
ITEM_000214,ORD_000115,Groceries,Basmati Rice 5kg,1,20.13,20.13
ITEM_000215,ORD_000115,Fashion,Nike Air Max,1,48.74,48.74
ITEM_000216,ORD_000116,Groceries,Nutella Jar,1,227.07,227.07
ITEM_000217,ORD_000116,Home & Kitchen,Tefal Cookware,1,608.52,608.52
ITEM_000218,ORD_000117,Fashion,Puma Sneakers,2,45.72,91.44
ITEM_000219,ORD_000118,Electronics,Canon EOS Camera,2,499.52,999.04
ITEM_000220,ORD_000119,Home & Kitchen,Dyson Vacuum,2,398.54,797.08
ITEM_000221,ORD_000120,Fashion,Mango Jacket,1,274.6,274.6
ITEM_000222,ORD_000120,Home & Kitchen,Samsung Fridge,1,232.06,232.06
ITEM_000223,ORD_000121,Beauty,Neutrogena Sunscreen,2,257.68,515.36
ITEM_000224,ORD_000121,Electronics,iPhone 14 Pro,2,83.98,167.96
ITEM_000225,ORD_000121,Groceries,Organic Vegetables Box,2,165.76,331.52
ITEM_000226,ORD_000122,Groceries,Nutella Jar,2,445.1,890.2
ITEM_000227,ORD_000123,Home & Kitchen,Nespresso Machine,2,158.56,317.12
ITEM_000228,ORD_000123,Fashion,H&M T-Shirt,3,49.18,147.54
ITEM_000229,ORD_000123,Electronics,PS5 Console,1,29.82,29.82
ITEM_000230,ORD_000123,Groceries,Barilla Pasta,3,28.18,84.54
ITEM_000231,ORD_000124,Electronics,Dell XPS Laptop,1,1411.92,1411.92
ITEM_000232,ORD_000125,Fashion,Mango Jacket,3,49.36,148.08
ITEM_000233,ORD_000125,Groceries,Barilla Pasta,3,132.02,396.06
ITEM_000234,ORD_000126,Groceries,Basmati Rice 5kg,2,206.85,413.7
ITEM_000235,ORD_000126,Electronics,"LG 55"" OLED TV",3,104.93,314.79
ITEM_000236,ORD_000127,Beauty,Olay Moisturizer,1,299.54,299.54
ITEM_000237,ORD_000128,Groceries,Barilla Pasta,2,170.91,341.82
ITEM_000238,ORD_000128,Fashion,Mango Jacket,3,90.63,271.89
ITEM_000239,ORD_000129,Fashion,Ray-Ban Sunglasses,2,427.32,854.64
ITEM_000240,ORD_000130,Beauty,Dove Shampoo,3,95.92,287.76
ITEM_000241,ORD_000130,Fashion,Zara Dress,2,38.45,76.9
ITEM_000242,ORD_000130,Groceries,Barilla Pasta,1,131.55,131.55
ITEM_000243,ORD_000131,Home & Kitchen,Dyson Vacuum,1,181.27,181.27
ITEM_000244,ORD_000131,Electronics,Dell XPS Laptop,3,174.26,522.78
ITEM_000245,ORD_000132,Beauty,MAC Lipstick,1,421.31,421.31
ITEM_000246,ORD_000132,Groceries,Lay's Chips,3,131.53,394.59
ITEM_000247,ORD_000133,Home & Kitchen,IKEA Sofa,1,160.32,160.32
ITEM_000248,ORD_000134,Electronics,"LG 55"" OLED TV",2,44.81,89.62
ITEM_000249,ORD_000134,Groceries,Coca Cola Pack,1,90.99,90.99
ITEM_000250,ORD_000135,Beauty,Dove Shampoo,1,484.4,484.4
ITEM_000251,ORD_000135,Fashion,Adidas Hoodie,3,49.2,147.6
ITEM_000252,ORD_000135,Electronics,Samsung Galaxy S23,1,129.31,129.31
ITEM_000253,ORD_000135,Home & Kitchen,IKEA Sofa,3,41.23,123.69
ITEM_000254,ORD_000136,Fashion,Calvin Klein Watch,2,486.0,972.0
ITEM_000255,ORD_000137,Fashion,Tommy Hilfiger Shirt,2,120.28,240.56
ITEM_000256,ORD_000137,Groceries,Lay's Chips,3,42.22,126.66
ITEM_000257,ORD_000137,Electronics,Sony WH-1000XM5,2,60.55,121.1
ITEM_000258,ORD_000138,Home & Kitchen,Braun Blender,3,712.29,2136.87
ITEM_000259,ORD_000139,Electronics,iPhone 14 Pro,1,316.32,316.32
ITEM_000260,ORD_000139,Fashion,Nike Air Max,2,39.33,78.66
ITEM_000261,ORD_000139,Beauty,Gillette Razor,3,44.1,132.3
ITEM_000262,ORD_000140,Groceries,Nescafe Coffee,2,1138.11,2276.22
ITEM_000263,ORD_000141,Home & Kitchen,Le Creuset Pot,3,262.72,788.16
ITEM_000264,ORD_000142,Home & Kitchen,Nespresso Machine,2,324.57,649.14
ITEM_000265,ORD_000143,Home & Kitchen,Tefal Cookware,1,852.19,852.19
ITEM_000266,ORD_000144,Groceries,Lay's Chips,1,611.92,611.92
ITEM_000267,ORD_000144,Electronics,iPad Air,2,439.99,879.98
ITEM_000268,ORD_000145,Groceries,Nescafe Coffee,2,75.73,151.46
ITEM_000269,ORD_000145,Electronics,Samsung Galaxy S23,2,30.73,61.46
ITEM_000270,ORD_000145,Home & Kitchen,Braun Blender,1,20.41,20.41
ITEM_000271,ORD_000145,Fashion,Puma Sneakers,1,35.39,35.39
ITEM_000272,ORD_000146,Home & Kitchen,KitchenAid Mixer,3,170.26,510.78
ITEM_000273,ORD_000146,Electronics,Canon EOS Camera,1,466.66,466.66
ITEM_000274,ORD_000147,Electronics,PS5 Console,3,93.48,280.44
ITEM_000275,ORD_000147,Groceries,Nutella Jar,3,218.72,656.16
ITEM_000276,ORD_000148,Beauty,Garnier Face Wash,2,88.42,176.84
ITEM_000277,ORD_000148,Groceries,Lay's Chips,2,202.81,405.62
ITEM_000278,ORD_000149,Fashion,H&M T-Shirt,3,454.92,1364.76
ITEM_000279,ORD_000150,Fashion,Levi's Jeans,3,258.25,774.75
ITEM_000280,ORD_000151,Home & Kitchen,Philips Air Fryer,2,114.53,229.06
ITEM_000281,ORD_000151,Electronics,Sony WH-1000XM5,3,123.82,371.46
ITEM_000282,ORD_000152,Beauty,Garnier Face Wash,2,85.16,170.32
ITEM_000283,ORD_000152,Home & Kitchen,Tefal Cookware,1,209.95,209.95
ITEM_000284,ORD_000153,Groceries,Nescafe Coffee,1,899.94,899.94
ITEM_000285,ORD_000154,Electronics,iPhone 14 Pro,2,275.42,550.84
ITEM_000286,ORD_000155,Groceries,Kellogg's Cereal,2,473.96,947.92
ITEM_000287,ORD_000156,Fashion,H&M T-Shirt,3,39.22,117.66
ITEM_000288,ORD_000156,Electronics,JBL Speaker,1,38.06,38.06
ITEM_000289,ORD_000156,Groceries,Organic Vegetables Box,3,6.73,20.19
ITEM_000290,ORD_000156,Beauty,Gillette Razor,1,39.94,39.94
ITEM_000291,ORD_000157,Home & Kitchen,Nespresso Machine,3,198.72,596.16
ITEM_000292,ORD_000158,Fashion,Zara Dress,3,689.37,2068.11
ITEM_000293,ORD_000159,Beauty,Maybelline Mascara,2,29.45,58.9
ITEM_000294,ORD_000159,Electronics,Apple Watch Series 8,3,49.83,149.49
ITEM_000295,ORD_000160,Groceries,Nutella Jar,2,113.36,226.72
ITEM_000296,ORD_000160,Home & Kitchen,Braun Blender,2,144.2,288.4
ITEM_000297,ORD_000160,Fashion,Ray-Ban Sunglasses,1,301.89,301.89
ITEM_000298,ORD_000161,Beauty,Olay Moisturizer,2,43.05,86.1
ITEM_000299,ORD_000162,Beauty,Neutrogena Sunscreen,2,338.06,676.12
ITEM_000300,ORD_000162,Electronics,Dell XPS Laptop,2,135.94,271.88
ITEM_000301,ORD_000162,Groceries,Kellogg's Cereal,1,233.82,233.82
ITEM_000302,ORD_000163,Electronics,Canon EOS Camera,1,188.79,188.79
ITEM_000303,ORD_000163,Home & Kitchen,IKEA Sofa,1,400.77,400.77
ITEM_000304,ORD_000164,Fashion,H&M T-Shirt,1,141.08,141.08
ITEM_000305,ORD_000164,Groceries,Kellogg's Cereal,2,96.53,193.06
ITEM_000306,ORD_000164,Home & Kitchen,Samsung Fridge,1,200.43,200.43
ITEM_000307,ORD_000165,Electronics,Sony WH-1000XM5,2,1067.66,2135.32
ITEM_000308,ORD_000166,Beauty,The Ordinary Set,2,336.6,673.2
ITEM_000309,ORD_000167,Beauty,Dove Shampoo,3,210.33,630.99
ITEM_000310,ORD_000168,Electronics,JBL Speaker,2,164.16,328.32
ITEM_000311,ORD_000168,Groceries,Fresh Fruits Basket,1,329.44,329.44
ITEM_000312,ORD_000169,Groceries,Coca Cola Pack,2,275.76,551.52
ITEM_000313,ORD_000170,Fashion,Zara Dress,2,107.22,214.44
ITEM_000314,ORD_000171,Home & Kitchen,Bosch Dishwasher,2,35.58,71.16
ITEM_000315,ORD_000171,Beauty,MAC Lipstick,1,57.51,57.51
ITEM_000316,ORD_000172,Electronics,Dell XPS Laptop,1,56.05,56.05
ITEM_000317,ORD_000172,Beauty,Garnier Face Wash,1,68.77,68.77
ITEM_000318,ORD_000173,Beauty,L'Oreal Serum,1,451.96,451.96
ITEM_000319,ORD_000174,Electronics,JBL Speaker,3,280.23,840.69
ITEM_000320,ORD_000175,Electronics,JBL Speaker,2,302.95,605.9
ITEM_000321,ORD_000175,Home & Kitchen,Braun Blender,3,501.79,1505.37
ITEM_000322,ORD_000176,Fashion,Calvin Klein Watch,3,276.79,830.37
ITEM_000323,ORD_000177,Beauty,MAC Lipstick,3,51.28,153.84
ITEM_000324,ORD_000177,Fashion,Mango Jacket,1,389.26,389.26
ITEM_000325,ORD_000178,Groceries,Lay's Chips,3,18.41,55.23
ITEM_000326,ORD_000178,Beauty,Maybelline Mascara,1,37.5,37.5
ITEM_000327,ORD_000178,Home & Kitchen,Nespresso Machine,2,24.0,48.0
ITEM_000328,ORD_000178,Fashion,H&M T-Shirt,3,15.5,46.5
ITEM_000329,ORD_000179,Groceries,Organic Vegetables Box,3,238.59,715.77
ITEM_000330,ORD_000180,Beauty,Maybelline Mascara,3,187.09,561.27
ITEM_000331,ORD_000181,Beauty,Nivea Cream,2,142.28,284.56
ITEM_000332,ORD_000182,Electronics,"LG 55"" OLED TV",1,723.18,723.18
ITEM_000333,ORD_000182,Home & Kitchen,Dyson Vacuum,3,250.75,752.25
ITEM_000334,ORD_000183,Beauty,The Ordinary Set,2,262.75,525.5
ITEM_000335,ORD_000184,Electronics,Apple Watch Series 8,2,138.94,277.88
ITEM_000336,ORD_000184,Home & Kitchen,Nespresso Machine,3,196.55,589.65
ITEM_000337,ORD_000185,Beauty,Olay Moisturizer,3,15.79,47.37
ITEM_000338,ORD_000185,Fashion,Tommy Hilfiger Shirt,1,93.58,93.58
ITEM_000339,ORD_000186,Beauty,The Ordinary Set,1,370.36,370.36
ITEM_000340,ORD_000186,Home & Kitchen,IKEA Sofa,3,112.05,336.15
ITEM_000341,ORD_000187,Beauty,The Ordinary Set,3,288.91,866.73
